"PROJ_ID","MONTH_DT","SCHEDULED","COMPLETED"
"Proj-16-111",2012-06-01,42,36.25
"Proj-31-111",2012-06-01,108.5,81
"Proj-32-111",2012-06-01,48.2,48.2
"Proj-5-111",2012-06-01,37,37
"Proj-6-111",2012-06-01,72.1,62.1
"Proj-8-111",2012-06-01,110.5,71.5
"Proj-9-111",2012-06-01,104,24
"Proj-7-113",2012-06-21,219,219
"Proj-13-112",2012-06-22,42,42
"Proj-14-112",2012-06-22,106,58
"Proj-16-112",2012-06-22,24,22
"Proj-31-112",2012-06-22,22,22
"Proj-32-112",2012-06-22,25,25
"Proj-5-112",2012-06-22,37,37
"Proj-6-112",2012-06-22,44.5,42.5
"Proj-8-112",2012-06-22,84,76
"Proj-9-112",2012-06-22,62,43
"Proj-12-110",2012-06-27,87,87
"Proj-10-121",2012-07-06,662,662
"Proj-7-117",2012-07-20,218,218
"Proj-12-115",2012-07-26,117,117
"Proj-13-116",2012-07-27,46,46
"Proj-14-116",2012-07-27,57,43
"Proj-16-116",2012-07-27,6.5,6.5
"Proj-31-116",2012-07-27,1,1
"Proj-32-116",2012-07-27,16,16
"Proj-5-116",2012-07-27,59,59
"Proj-6-116",2012-07-27,5.5,5.5
"Proj-8-116",2012-07-27,8,8
"Proj-9-116",2012-07-27,32,32
"Proj-7-120",2012-08-16,336,336
"Proj-14-119",2012-08-17,48,2
"Proj-16-119",2012-08-17,28,5.5
"Proj-31-119",2012-08-17,111.5,111.5
"Proj-32-119",2012-08-17,5,5
"Proj-33-119",2012-08-17,2,2
"Proj-5-119",2012-08-17,39,39
"Proj-6-119",2012-08-17,29.5,25.5
"Proj-8-119",2012-08-17,72.5,42.5
"Proj-9-119",2012-08-17,27,27
"Proj-12-118",2012-08-29,102,102
"Proj-10-129",2012-08-31,230,230
"Proj-14-123",2012-09-14,97,54
"Proj-16-123",2012-09-14,65,46
"Proj-31-123",2012-09-14,111.5,106.5
"Proj-32-123",2012-09-14,28,28
"Proj-33-123",2012-09-14,22.5,0.5
"Proj-5-123",2012-09-14,68,68
"Proj-6-123",2012-09-14,38,32
"Proj-8-123",2012-09-14,161,154
"Proj-9-123",2012-09-14,93,67
"Proj-7-125",2012-09-20,336,336
"Proj-12-122",2012-09-27,79,77
"Proj-14-124",2012-09-28,83,53
"Proj-16-124",2012-09-28,26,17
"Proj-31-124",2012-09-28,51,51
"Proj-32-124",2012-09-28,50,37.5
"Proj-33-124",2012-09-28,7,5
"Proj-5-124",2012-09-28,63,45
"Proj-6-124",2012-09-28,15,10
"Proj-8-124",2012-09-28,26.5,26.5
"Proj-9-124",2012-09-28,48,36
"Proj-7-127",2012-10-18,387,387
"Proj-12-126",2012-10-25,161,161
"Proj-10-128",2012-11-02,302,278
"Proj-10-134",2012-11-02,622,562
"Proj-14-131",2012-11-09,9,0
"Proj-16-131",2012-11-09,17.5,11
"Proj-31-131",2012-11-09,64.5,64.5
"Proj-33-131",2012-11-09,4.5,4.5
"Proj-5-131",2012-11-09,6,6
"Proj-6-131",2012-11-09,10,8
